Clavero,Código tarea std,Descripción componente,DEFINICION,Std Tasks Codes,Equipment description,DEFINITION,Fecha
FRE0105,FRE0105T79,Panel de control de pantógrafo,Denuncias de fallos en el funcionamiento del Panel de control de pantografos sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0105T79,Pantograph control panel,Reports of failures functionality of the Pantograph control panel without finding an anomaly after the relevant inspection and check.,
FRE010501,FRE010501T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de control de pantografos por no ser reparable,FRE010501T62,Pressure test point,Replacement and disposal of the pressure gauge connection on the Pantograph control panel that is beyond repair,
FRE010501,FRE010501T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel de control de pantografos como juntas, muelles, racor enchufable y sujeción, etc… 
Se incluyen limpieza o engrase de elementos en Toma manometrica",FRE010501T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the Pantograph control panel such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the pressure test point elements",
FRE010502,FRE010502T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de control de pantografo  ,FRE010502T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the pantograph control panel  ,
FRE010503,FRE010503T71,    Válvula antirretorno,"Sustitución y reparación posterior de Válvula antiretorno en Panel de control de pantografos  
El mal funcionamiento de esta válvula suele provocar fugas de aire por la válvula de seguridad del Compresor auxiliar",FRE010503T71,Checkvalve,"Replacement and subsequent repair of the non-return valve on the Pantograph control panel
The malfunctioning of this valve usually leads to air leaks through the auxiliary compressor safety valve",
FRE010504,FRE010504T16,    Válvula de seguridad,"Regulación de presión de fuga de la válvula de seguridad en Panel de control de pantografos  
No confundir con válvula de seguridad de Compresor auxiliar, GTA10",FRE010504T16,Safety valve,"Adjustment of the leakage pressure of the safety valve on the Pantograph control panel
Do not confuse with the auxiliary compressor safety valve, GTA10",
FRE010504,FRE010504T62,    Válvula de seguridad,"Sustitución y desecho de Válvula de seguridad en Panel de control de pantografos por no ser reparable o por normativa en materia ferrovíaria  
No confundir con válvula de seguridad de Compresor auxiliar, GTA10",FRE010504T62,Safety valve,"Replacement and disposal of the safety valve on the Pantograph control panel that is beyond repair or due to railway regulations
Do not confuse the auxiliary compressor safety valve, GTA10",
FRE010504,FRE010504T71,    Válvula de seguridad,"Sustitución y reparación posterior de Válvula de seguridad en Panel de control de pantografos  
No confundir con válvula de seguridad de Compresor auxiliar, GTA10",FRE010504T71,Safety valve,"Replacement and subsequent repair of the safety valve on the Pantograph control panel
Do not confuse with the auxiliary compressor safety valve, GTA10",
FRE010505,FRE010505T16,    Distensor / Regulador de presión,Regulación de tarado de Distensores o Reguladores de presión en Panel de control de pantografos  ,FRE010505T16,Pressure regulator,Setting adjustment of pressure reducing valves or pressure regulators on the Pantograph control panel  ,
FRE010505,FRE010505T71,    Distensor / Regulador de presión,Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel de control de pantografos,FRE010505T71,Pressure regulator,Replacement and subsequent repair of pressure reducing valves or pressure regulators on the Pantograph control panel,
FRE010506,FRE010506T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel de control de pantógrafos o fuera de este como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se puede dar el caso de Electrovalulas de accioanmiento de Pantografos no incluidas en Paneles  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE010506T70,Electrovalve,"Repair or replacement of elements belonging to solenoid valves on the pantograph control panel or those not on the panel, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...
There may be pantograph actuating solenoid valves that are not included on the panels
Includes cleaning and lubricating of solenoid valve elements",
FRE010506,FRE010506T71,    Electroválvula,"Sustitución y reparación posterior de Electroválvulas en el Panel de de control de pantógrafos o fuera de este  
Se puede dar el caso de Electrovalulas de accioanmiento de Pantografos no contenidad en Paneles",FRE010506T71,Electrovalve,"Replacement and subsequent repair of solenoid valves on the pantograph control panel and those not on the panel  
There may be pantograph actuating solenoid valves that are not on the panels.",
FRE010507,FRE010507T16,    Presostato,Regulación de tarado de Presostato en Panel de control de pantógrafos,FRE010507T16,Pressure switch,Adjustment of the setting of the pressure switch on the pantograph control panel,
FRE010507,FRE010507T62,    Presostato,Sustitución de Presostatos en Panel de control de pantógrafos por no ser reparable,FRE010507T62,Pressure switch,Replacement of pressure switches on the pantograph control panel that are beyond repair,
FRE010507,FRE010507T71,    Presostato,Sustitución y reparación posterior de Presostatos en Panel de control de pantógrafos,FRE010507T71,Pressure switch,Replacement and subsequent repair of pressure switches on the pantograph control panel,
FRE010508,FRE010508T70,    Filtro de partículas,"Reparación o sustitución de elementos pertenecientes a Filtros de particulas en Panel de control de pantografos como juntas, resortes, elemento filtrante, etc…  
Se incluyen limpieza o engrase de elementos en Filtros",FRE010508T70,Particles filter,"Repair or replacement of elements belonging to the particulate filter on the Pantograph control panel such as joints, springs, filter element, etc...
Includes cleaning or lubrication of filter elements",
FRE010508,FRE010508T71,    Filtro de partículas,Sustitución y reparación posterior de Filtros de particulas en Panel de control de pantografos,FRE010508T71,Particles filter,Replacement and subsequent repair of the particulate filter on the Pantograph control panel,
FRE010509,FRE010509T70,    Depósito Auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares de pantógrafo internos o externos como juntas, bridas, tornillería, etc... 
Se incluyen Depósitos de control o referencia",FRE010509T70,Auxiliary tank,"Replacement and repair of elements belonging to the internal or external auxiliary pantograph reservoirs, such as joints, clamps and fasteners
Includes control or reference reservoirs",
FRE010509,FRE010509T71,    Depósito Auxiliar,Sustitución y reparación posterior de Depósitos auxiliares de pantógrafo internos o externos al Panel,FRE010509T71,Auxiliary tank,"Replacement and repair subsequent repair of auxiliary brake reservoirs, internal or external to the panel",
FRE010510,FRE010510T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel de control de pantógrafos",FRE010510T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... on the pantograph control panel",
FRE0106,FRE0106T70,Panel de Auxiliares de cabina,"Reparación o sustitución de elementos pertenecientes al Panel de auxiliares de cabina y que no estén definidos en las claves subsiguientes  
Reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0106T70,Cabin auxiliar panel,"Repair or replacement of elements belonging to the cab auxiliaries panel and that are not defined in the subsequent codes  
Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
FRE0106,FRE0106T79,Panel de Auxiliares de cabina,"Denuncias de fallos en el funcionamiento de elementos en el Panel de auxiliares de cabina como accionamientos de Bocinas, Silvatos, Engrase de pestaña, Desacople sin encontrar anomalía despues de la revision y comprobacion pertinente.",FRE0106T79,Cabin auxiliar panel,"Reports of failures in the functionality of parts belonging to the Cabin auxiliar panel such as horn, whistle, flange lubrication, decoupling actuators without finding an anomaly after the relevant inspection and check.",
FRE010601,FRE010601T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de auxiliares por no ser reparable,FRE010601T62,Pressure test point,Replacement and disposal of the pressure gauge connection on the auxiliaries panel that is beyond repair,
FRE010601,FRE010601T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel de Auxiliares de cabina como juntas, muelles, racor enchufable y sujeción, etc…  
Se incluye limpieza o engrase de toma manometrica",FRE010601T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the cab auxiliaries panel such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the pressure test point",
FRE010602,FRE010602T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de auxiliares de cabina,FRE010602T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the cab auxiliaries panel,
FRE010603,FRE010603T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas de Bocinas, Silvatos, Engrase de pestaña, Desacople, etc…en Panel de Auxiliares de cabina como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE010603T70,Electrovalve,"Repair or replacement of elements belonging to the horn, whistle, flange lubrication, decoupling solenoid valves such as limit switches, joints, springs, fixings, internal wiring, oil, housings, etc...
Includes cleaning or lubrication of solenoid valve elements",
FRE010603,FRE010603T71,    Electroválvula,"Sustitución y reparación posterior de Electroválvulas de accionamiento de Bocinas, Silvatos, Engrase de pestaña, Desacople, etc… en Panel de Auxiliares de cabina  ",FRE010603T71,Electrovalve,"Replacement and subsequent repair of the horn, whistle, flange lubrication, decoupling, etc... actuating solenoid valves on the cab auxiliaries panel  ",
FRE010604,FRE010604T70,    Filtro de partículas,"Reparación o sustitución de elementos pertenecientes a Filtros de particulas en Panel de auxiliares de cabina como juntas, resortes, elemento filtrante, etc…  
Se incluyen limpieza o engrase de elementos en Filtros",FRE010604T70,Particles filter,"Repair or replacement of elements belonging to the particulate filter on the cab auxiliaries panel such as joints, springs, filter element, etc...
Includes cleaning or lubrication of filter elements",
FRE010604,FRE010604T71,    Filtro de partículas,Sustitución y reparación posterior de Filtros de particulas en Panel de auxiliares de cabina,FRE010604T71,Particles filter,Replacement and subsequent repair of the particulate filter on the cab auxiliaries panel,
FRE010606,FRE010606T71,    Señalizador de freno,Sustitución y reparación posterior de elementos señalizadores de freno de servicio y estacionamiento,FRE010606T71,Brake indicators,Replacement and subsequent repair of the service and parking brake signalling elements,
FRE010607,FRE010607T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel de Auxiliares de cabina",FRE010607T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... on the cab auxiliaries panel",
FRE010608,FRE010608T16,    Distensor / Regulador de presión,"Regulación de tarado de Distensores o Reguladores de presión de Bocinas, Silvatos, Engrase de pestaña, Desacople, etc… en Panel de auxiliares de cabina",FRE010608T16,Pressure regulator,"Adjustment of the setting of the pressure reducing valves and pressure regulators of horns, whistles, flange lubrication, decoupling, etc... on the cab auxiliaries panel",
FRE010608,FRE010608T71,    Distensor / Regulador de presión,"Sustitución y reparación posterior de Distensores o Reguladores de presión de Bocinas, Silvatos, Engrase de pestaña, Desacople, etc… en Panel de auxiliares de cabina",FRE010608T71,Pressure regulator,"Replacement and subsequent repair of the pressure reducing valves and pressure regulators of horns, whistles, flange lubrication, decoupling, etc... on the cab auxiliaries panel",
FRE010609,FRE010609T71,Válvula antiretorno,Sustitución y reparación posterior de Válvula antiretorno en Panel de auxiliares de cabina,FRE010609T71,Checkvalve,Replacement and subsequent repair of the non-return valve on the cab auxiliaries panel,
FRE0107,FRE0107T70,Panel Control TFA,"Reparación o sustitución de elementos pertenecientes al Panel de control de freno de auxilio (TFA) y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0107T70,Auxiliary Brake control panel,"Repair or replacement of elements belonging to the auxiliary brake (ABP) control panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
FRE0107,FRE0107T79,Panel Control TFA,Denuncias de fallos en el funcionamiento del Panel de Control TFA sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0107T79,Auxiliary Brake control panel,Reports of failures in the functionality of the Auxiliary Brake control panel without finding an anomaly after the relevant inspection and check.,
FRE010701,FRE010701T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de control de freno de auxilio (TFA)  por no ser reparable,FRE010701T62,Pressure test point,Replacement and disposal of the pressure gauge connection on the auxiliary brake (ABP) control panel that is beyond repair,
FRE010701,FRE010701T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica Panel de control de freno de auxilio (TFA) como juntas, muelles, racor enchufable, sujeción, etc…  
Se incluye limpieza o engrase de toma manometrica   ",FRE010701T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the auxiliary brake (ABP) control panel such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the pressure test point   ",
FRE010702,FRE010702T71,Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de control de freno de auxilio (TFA)  ,FRE010702T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the auxiliary brake (ABP) control panel  ,
FRE010703,FRE010703T16,    Distensor / Regulador de presión,Regulación de tarado de Distensores o Reguladores de presión en Panel de control de freno de auxilio (TFA),FRE010703T16,Pressure regulator,Adjustment of the setting of the pressure reducing valves or pressure regulators on the auxiliary brake (ABP) control panel,
FRE010703,FRE010703T71,    Distensor / Regulador de presión,Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel de control de freno de auxilio (TFA),FRE010703T71,Pressure regulator,Replacement and subsequent repair of pressure reducing valves or pressure regulators on the assistance brake (ABP) control panel,
FRE010704,FRE010704T71,    Válvula pilotada neumáticamente,"Reparación o sustitución de elementos pertenecientes a válvulas pilotadas neumáticamente en Panel de control de freno de auxilio (TFA) como finales de carrera, juntas, muelles, sujeciones, cableado interno, etc…  ",FRE010704T71,Pneumatically driven valve,"Repair or replacement of elements belonging to the pneumatically controlled valves on the auxiliary brake pipe (ABP) control panel such as limit switches, joints, springs, fixings, internal wiring, etc...  ",
FRE010705,FRE010705T16,Convertidor electroneumatico TFA,"Regulación de presión en TFA mediante Regulación de Convertidor electroneumático TFA en equipos de freno KNORR  
No confundir con Distribuidor en equipos FAIVELEY ",FRE010705T16,BP control valve,"Pressure regulation on the  auxiliary brake pipe ABP by means electropneumatic converter  on KNORR brake equipment  
Do not confuse with the distributor on FAIVELEY equipment ",
FRE010705,FRE010705T71,Convertidor electroneumatico TFA,"Sustitución y reparación posterior de Convertidor electroneumático TFA  
No confundir con Distribuidor en equipos FAIVELEY ",FRE010705T71,BP control valve,"Replacement and subsequent repair of the auxiliary brake pipe (ABP) electropneumatic converter  
Do not confuse with the distributor on FAIVELEY equipment ",
FRE010706,FRE010706T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel de control de freno de auxilio (TFA) como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE010706T70,Electrovalve,"Repair or replacement of elements belonging to the solenoid valves on the auxiliary brake pipe (ABP) control panel, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...
Includes cleaning or lubrication of solenoid valve elements",
FRE010706,FRE010706T71,    Electroválvula,"Sustitución y reparación posterior de Electroválvulas en el Panel de control de freno de auxilio (TFA)  
No confundir con Distribuidor en equipos FAIVELEY ",FRE010706T71,Electrovalve,"Replacement and subsequent repair of solenoid valves on the auxiliary brake pipe (ABP) control panel  
Do not confuse with the distributor on FAIVELEY equipment ",
FRE010707,FRE010707T16,    Presostato,Regulación de tarado de Presostato en Panel de control de freno de auxilio (TFA),FRE010707T16,Pressure switch,Adjustment of the setting of the pressure switch on the auxiliary brake pipe (ABP) control panel,
FRE010707,FRE010707T62,    Presostato,Sustitución de Presostatos en Panel de control de freno de auxilio (TFA) por no ser reparable,FRE010707T62,Pressure switch,Replacement of pressure switches on the auxiliary brake pipe (ABP) control panel that are beyond repair,
FRE010707,FRE010707T71,    Presostato,Sustitución y reparación posterior de Presostatos en Panel de control de freno de auxilio (TFA),FRE010707T71,Pressure switch,Replacement and subsequent repair of pressure switches on the auxiliary brake pipe (ABP) control panel,
FRE010708,FRE010708T70,    Filtro de partículas,"Reparación o sustitución de elementos pertenecientes a Filtros de particulas en Panel de control de freno de auxilio (TFA) como juntas, resortes, elemento filtrante, etc…  
Se incluyen limpieza o engrase de elementos en Filtros",FRE010708T70,Particles filter,"Repair or replacement of elements belonging to the particulate filter on the auxiliary brake pipe (ABP) control panel such as joints, springs, filter element, etc...
Includes cleaning or lubrication of filter elements",
FRE010708,FRE010708T71,    Filtro de partículas,Sustitución y reparación posterior de Filtros de particulas en Panel de control de freno de auxilio (TFA),FRE010708T71,Particles filter,Replacement and subsequent repair of particulate filters on the auxiliary brake pipe (ABP) control panel,
FRE010709,FRE010709T70,    Depósito Auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares de freno de auxilio por TFA internos o externos al panel como juntas, bridas de sujeción y tornillería  Se incluyen Depósitos de control o referencia",FRE010709T70,Auxiliary tank,"Replacement and repair of elements belonging to the assistance brake auxiliary reservoirs internal or external to the panel, such as joints, clamps and fasteners Includes control or reference reservoirs",
FRE010709,FRE010709T71,    Depósito Auxiliar,"Sustitución y reparación posterior de Depósitos auxiliares de freno de auxilio por TFA internos o externos al panel  
Se incluyen Depósitos de control o referencia",FRE010709T71,Auxiliary tank,"Replacement and repair of assistance brake auxiliary reservoirs for ABPs internal or external to the panel
Includes control or reference reservoirs",
FRE010710,FRE010710T71,    Válvula Relé,Sustitución y reparación posterior de válvula rele en Panel de control de freno de auxilio (TFA),FRE010710T71,Realy valve,Replacement and subsequent repair of the relay valve on the auxiliary brake (ABP) control panel,
FRE010711,FRE010711T70,    Manipulador auxilio,"Reparación o sustitución de elementos pertenecientes a la válvula manual de control de freno de auxilio (TFA) como juntas, carrete, racores, actuador, etc…  
Se incluyen limpieza o engrase de elementos  
válvula en Pupitre de conducción",FRE010711T70,Emergency stick,"Repair or replacement of elements belonging to the manual control valve of the auxiliary  brake (ABP)  such as joints, spool, fittings, actuator, etc...
Includes cleaning or lubrication of valve elements on the driver desk",
FRE010711,FRE010711T71,    Manipulador auxilio,Sustitución y reparación posterior de válvula manual de control de freno de auxilio (TFA)  válvula en Pupitre de conducción,FRE010711T71,Emergency stick,Replacement and subsequent repair of the relay valve on the auxiliary brake (ABP) control panel  Driver desk valve,
FRE010712,FRE010712T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel Control de freno de auxilio (TFA)",FRE010712T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... on the auxiliary  brake (ABP) control panel",
FRE010713,FRE010713T71,Válvula antiretorno,Sustitución y reparación posterior de Válvula antiretorno en Panel de control de freno de auxilio (TFA),FRE010713T71,Checkvalve,Replacement and subsequent repair of the non-return valve on the auxiliary  brake (ABP) control panel,
FRE0108,FRE0108T70,Panel SIFA,"Reparación o sustitución de elementos pertenecientes al Panel de control SIFA y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0108T70,SIFA panel,"Repair or replacement of elements belonging to the SIFA control panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
FRE0108,FRE0108T79,Panel SIFA,Denuncias de fallos en el funcionamiento del Panel SIFA sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0108T79,SIFA panel,Reports of failures in the functionality of the SIFA panel without finding an anomaly after the relevant inspection and check.,
FRE010801,FRE010801T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de control SIFA por no ser reparable,FRE010801T62,Pressure test point,Replacement and disposal of the pressure gauge on the SIFA control panel that is beyond repair,
FRE010801,FRE010801T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel de control SIFA como juntas, muelles, racor enchufable y sujeción, etc…  
Se incluyen limpieza o engrase de elementos en Toma manometrica",FRE010801T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the SIFA control panel such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the pressure test point",
FRE010802,FRE010802T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de control SIFA  ,FRE010802T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the SIFA control panel  ,
FRE010804,FRE010804T71,    Válvula pilotada neumáticamente,Sustitución y reparación posterior de válvula pilotada neumáticamente en Panel de control SIFA,FRE010804T71,Pneumatically driven valve,Replacement and subsequent repair of the pneumatically controlled valve on the SIFA control panel,
FRE010805,FRE010805T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel de control SIFA como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE010805T70,Electrovalve,"Repair or replacement of elements belonging to the solenoid valves on the SIFA control panel, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...
Includes cleaning or lubrication of solenoid valve elements",
FRE010805,FRE010805T71,    Electroválvula,Sustitución y reparación posterior de Electroválvulas en Panel de control SIFA,FRE010805T71,Electrovalve,Replacement and subsequent repair of the solenoid valves on the SIFA control panel,
FRE010806,FRE010806T16,    Presostato,Regulación de tarado de Presostato en Panel de control SIFA,FRE010806T16,Pressure switch,Adjustment of the setting of the pressure switch on the SIFA control panel,
FRE010806,FRE010806T62,    Presostato,Sustitución de Presostatos en Panel de control SIFA por no ser reparable,FRE010806T62,Pressure switch,Replacement of pressure switches on the SIFA control panel that are beyond repair,
FRE010806,FRE010806T71,    Presostato,Sustitución y reparación posterior de Presostatos en Panel de control SIFA,FRE010806T71,Pressure switch,Replacement and subsequent repair of the pressure switches on the SIFA control panel,
FRE010808,FRE010808T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc...internos en Panel de control SIFA",FRE010808T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... on the SIFA control panel",
FRE0109,FRE0109T70,Panel Distribuidor,"Reparación o sustitución de elementos pertenecientes al Panel Distribuidor y que no estén definidos en las claves subsiguientes  
Reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0109T70,Distributor panel,"Repair or replacement of elements belonging to the distributor panel and that are not defined in the subsequent codes  
Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
FRE0109,FRE0109T79,Panel Distribuidor,Denuncias de fallos en el funcionamiento del Panel distribuidor sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0109T79,Distributor panel,Reports of failures in the functionality of the Distributor panel without finding an anomaly after the relevant inspection and check.,
FRE010901,FRE010901T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel Distribuidor por no ser reparable,FRE010901T62,Pressure test point,Replacement and disposal of the pressure gauge connection on the distributor panel that is beyond repair,
FRE010901,FRE010901T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel Distribuidor como juntas, muelles, racor enchufable, sujeción, etc…  
Se incluye limpieza o engrase de toma manometrica   ",FRE010901T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the distributor panel such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the pressure test point   ",
FRE010902,FRE010902T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel Distribuidor  ,FRE010902T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the distributor panel  ,
FRE010903,FRE010903T16,    Distensor / Regulador de presión,Regulación de tarado de Distensores o Reguladores de presión en Panel Distribuidor,FRE010903T16,Pressure regulator,Setting adjustment of pressure reducing valves or pressure regulators on the distributor panel,
FRE010903,FRE010903T71,    Distensor / Regulador de presión,Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel Distribuidor,FRE010903T71,Pressure regulator,Replacement and subsequent repair of pressure reducing valves or pressure regulators on the distributor panel,
FRE010904,FRE010904T70,    Depósito Auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares internos o externos al Panel Distribuidor como juntas, bridas de sujeción y tornillería  
Se incluyen Depósitos de control o referencia",FRE010904T70,Auxiliary tank,"Replacement and repair of elements belonging to the auxiliary reservoirs, internal or external to the distributor panel, such as joints, clamps and fasteners
Includes control or reference reservoirs",
FRE010904,FRE010904T71,    Depósito Auxiliar,Sustitución y reparación posterior de Depósitos auxiliares internos o externos en Panel distribuidor,FRE010904T71,Auxiliary tank,"Replacement and subsequent repair of auxiliary reservoirs, internal or external to the distributor panel",
FRE010905,FRE010905T71,    Distribuidor,"Sustitución y reparación posterior de Distribuidor  En sistemas de freno Knorr, este elemento es el encargado de generar la presión de freno de auxilio ",FRE010905T71,Distributor,"Replacement and subsequent repair of the distributor In Knorr brake systems, this element is responsible for generating the assistance brake pressure ",
FRE010906,FRE010906T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel de freno",FRE010906T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... of the Brake panel",
FRE0110,FRE0110T70,Panel Arenero,"Reparación o sustitución de elementos pertenecientes al Panel de areneros y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0110T70,Sanding panel,"Repair or replacement of elements belonging to the sander panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
FRE0110,FRE0110T79,Panel Arenero,Denuncias de fallos en el funcionamiento del Panel de control areneros sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0110T79,Sanding panel,Reports of failures in the functionality of the Sanding control panel without finding an anomaly after the relevant inspection and check.,
FRE011001,FRE011001T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de areneros por no ser reparable,FRE011001T62,Pressure test point,Replacement and disposal of the pressure gauge connection on the sander panel that is beyond repair,
FRE011001,FRE011001T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel Arenero como juntas, muelles, racor enchufable, sujeción, etc…  
Se incluye limpieza o engrase de toma manometrica   ",FRE011001T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the sander panel such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the pressure test point   ",
FRE011002,FRE011002T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de areneros  ,FRE011002T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the sander panel  ,
FRE011003,FRE011003T16,    Distensor / Regulador de presión,Regulación de tarado de Distensores o Reguladores de presión en Panel de areneros,FRE011003T16,Pressure regulator,Adjustment of setting of pressure reducing valves or pressure regulators on the sander panel,
FRE011003,FRE011003T71,    Distensor / Regulador de presión,Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel de areneros,FRE011003T71,Pressure regulator,Replacement and subsequent repair of pressure reducing valves or pressure regulators on the sander panel,
FRE011004,FRE011004T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel de areneros como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE011004T70,Electrovalve,"Repair or replacement of elements belonging to the solenoid valves on the sander panel, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...
Includes cleaning or lubrication of solenoid valve elements",
FRE011004,FRE011004T71,    Electroválvula,Sustitución y reparación posterior de Electroválvulas en el Panel de areneros,FRE011004T71,Electrovalve,Replacement and subsequent repair of the solenoid valves on the sander panel,
FRE011005,FRE011005T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel de areneros",FRE011005T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... of the sander panel",
FRE0111,FRE0111T70,Panel Tercer carril,"Reparación o sustitución de elementos pertenecientes al Panel de control patin tercer carril y que no estén definidos en las claves subsiguientes  
Reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0111T70,3rd rail control panel,"Repair or replacement of elements belonging to the third rail shoe panel and that are not defined in the subsequent codes  
Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
